리뷰,평점
"우리동네 최저가 병원비도 검색되고, 만보기 기능도 있어서 평소에 유용하게 활용하며 건강도 지키고 1석 2조입니다 :) 다만 가끔 만보기 걸음수 오류나 렉이 걸리는 경우가 있어서 앱 업데이트시 해당오류가 잘 개선되면 더 좋을 것 같아요!",5
"포인트를 쉽게 벌수 있어서 좋아요. 닥터캐시는 모바일쿠폰으로 가능하긴 한데, 닥터포인트를 쓸수 있는 곳이 한정적이라 저한텐 해당사항이 없어서 아쉽네요. 닥터포인트를 사용가능한 곳이 좀 더 다양해지면 더 좋을것 같아요.",4
앱테크하면 동영상이나 광고뜨는 앱이 많은데 이건 광고가 없어 정말 편해요 일주일에 한번씩 체중 혈압 등 체크 매일 만보기와 퀴즈만 풀면됩니다 다만 번거로운점이 있다면 종종 설정이 바뀌는건지 만보기 체크가 안되요 그래서 앱설정가서 다시 바꿔야하는부분이 있는데 이부분 고쳐주시면 좋을것같습니다,4
매일 퀴즈도 풀고 건강상식도 배우고 좋아요 포인트 적립도 쏠쏠하니 잘되는거 같아 만족스러워요~ 다소 아쉬운점은 매일 만보 걷고 있는데 걸음수 책정 오류가 많아서 거의 절반밖에 책정이 안되네요. 그래도 장점이 더 많은 앱이라 잘 사용하고 있습니다,5
나만의닥터로 영양제 및 복용약 알림도 와서 좋고 소소하게 포인트 적립으로 요긴하게 쓸 수 있어서 너무 좋습니다. 포인트 차감없이 더 많은 이벤트로 포인트지급이 되었으면 합니다.,4
"나만의 닥터 앱이 건강에 도움이 되어 좋긴합니다만 만보기 오류가 너무 자주 발생해서...개선이 필요한것 같습니다. 15,000보 이상 걸었는데 카운트가 제대로 되지 않고 3천몇보에서 초기화되어 더 이상 카운트가 안되는 등 오류가 많네요... 이번주에도 2번이나 오류가 생겼답니다.",3
UX/UI에 정말 문제가 많은 앱. 예를 들면 체중 기록 알림 한 번 설정하면 끌 수 있는 옵션이 없음. 요일을 없애면 수정하기 버튼이 안 눌리고 따로 삭제하는 버튼도 없는데 어떻게 하라는 건지..,1
"지인추천으로 접하게 된 나만의닥터, 처음에는 별 흥미를 못느꼈는데 요즘은 매일 건강관리, 혈압, 혈당, 체중관리까지 열심히 체크하고 있습니다. 쏠쏠한 포인트도 챙기고 여러모로 흐뭇합니다. 앞으로도 열심히 하겠습니다.고맙습니다",5
늘 잘 사용하고 있어요 :) 독감가격은 다 같은 줄 알았는데 최저가도 찾게되고 병원예약도 되게 쉽고 빠르게 되고 예약알림도 잊지 않게 뜨니까 너무 좋더라구요 :) 하루 한 번 씩 퀴즈 풀고 적립금 받아서 그걸로 할인받음 그것도 꿀이고 사용할 때마다 너무 좋은 앱이에요!,5
"처음 사용할때도 어렵지않았고, 메뉴 간단해서 헷갈릴 일 없어요. 포인트적립, 사용도 한눈에 확인되고 심플하고 만족합니다. 다만, 걸음 카운트가 제대로 체크안해서 자꾸 없어져요. 실컷 걸었는데 카운트 안되고있고..ㅋㅋㅋ 업데이트 하니 또 없어지고.. 설정해두면 누락되는거 없이 카운트 되면 좋겠어요",4
"이 어플 사용한 지 꽤 됐는데 좋은 기능이 많아서 잘 쓰고 있어요. 독감백신이나 탈모약 값이 저렴한 곳도 알려 주고 만보기, 퀴즈 등 포인트를 모아서 네이버페이로 바꿀수 있어서 앱테크 하기도 좋아요. 어플도 안정적이라 오류도 없고 메뉴도 찾기 쉬워요.",5
비대면 진료를 받으면 꼼꼼하게 케어 받을수 있어서 편리함을 느끼고 도움 받을수 있을것 같습니다 건강관리 할때도 이앱을 통해서 관리가 가능하고 걸음수를 잴수 있는 만보기 기능을 이용하여 걸음수를 기록하고 포인트를 적립 할수 있으니 더욱 좋은 기능을 가진 앱입니다 코로나 시대에 걸맞는 앱이예요,4
비대면진료앱은 처음 접해보는데 신세계입니다. 요즘 비대면을 선호하고 있기 때문에 많이 이용하실거 같습니다. 모든 진료 증상 선택이 가능한부분이 너무 편리하네요 건강챌린지도 닥터포인트를 줘서 쏠쏠하네요. 즐겁게 앱사용할수있는 기능이 많아서 좋습니다. 번창하세요!,5
"앱 자체가 그지같은데, 평점은 굉장히 높네요. 앱 문제인지 서버문제인지 모르겠지만 엄청 느려요. 뭐 하나 입력하면 기본 10초정도는 기다려야합니다. 그리고 저만 그런 건지 엄청 튕깁니다. 근 몇 년간 사용했던 앱중에 가장 최악입니다. 서비스 내용은 괜찮다고 생각합니다.",1
친구가 추천해줘서 가입하게된 앱입니다. 늦은시간까지 모든 과목의 진료가 가능하네요. 늦은시간 아퍼도 든든한생각이듭니다. 비대면진료도 가능하니 더 편리하네요. 포인트컨텐츠도 여러가지가되네요. 진료비등으로 사용가능해서 완전 유용한듯합니다.요즘은 야간 주말 진료비가 많이 비싸드라구요ㅜㅜ 열심히 참여해서 포인트쌓고 진료비도 아껴볼랍니다 ㅋㅋ,5
우선 현시점에 비대면 진료가 수시로 필요할 수 있어 찾아보더중 앱중 ui가 가장 보기 편하고 카테고리 분류도 명확해서 보기 편합니다. 다양한 기능들도 있으며 다양한 이벤트도 존재합니다 비용 시간 모두 절감할 수 있으며 간단한 궁금증 해결도 간편하게 해결 되어 좋습니다,5
코로나로 인해 비대면진료도 가능해지고 카테고리가 간편하게 되어있어 어플 초보자도 이용하기 쉽고 깔끔하게 되어있어 편리합니다^^ 매번 나오는 퀴즈이벤트도 좋고 종류별로 다양하게 메뉴가 나와있어 좋아요ㅎㅎ,5
감사합니다. 덕분에 아픈몸 이끌고 병원가지 않고서도 약 바로 받아서 먹을 수 있었어요.. 앱리뷰 잘 안남기는 편인데 너무나 편리하게 잘 사용해서 남깁니다. 정말 고민할 필요없이 사용할 수 있도록 잘 설계된 어플이라는 생각이 듭니다. 앞으로도 계속 많은 의견 적용해서 더 빠르고 편리한 서비스가 되기를 바랍니다.,5
어플자체는 참 좋아요 메뉴얼도 쉽고 설명도 알아듣기 쉬웠어요 ㅎㅎ 처음에 지역별이 아닌 그냥 과별로 의사들 먼저 나와서 당황했어요 너무 멀리서 늦게오면 어쩌나? 걱정이되더라구요 ~(퀵이더라도...ㅎ) 약간 1프로의 바램이 있다면 지역별로 의사선생님이 보인다면 더 믿음이 갈 것 같아요 이런어플을 알게되어 좋네요 ㅎㅎ 앞으로 더더 유명해지기를~~~!!,5
비대면 진료 어플로 관심이 있어서 설치했는데 앱 내부의 인터페이스도 괜찮고 병원갈일이 있을때 유용하게 사용할 수 있을 것 같아요 증상에 맞게 진료분야가 나오고 선택이 가능하게끔 잘 설정되어 있어서 좋았고 닥터포인트제도처럼 앱 내부에서 포인트를 적립할 수 있는 기능까지 있어서 더욱 만족스러웠습니다,5
"최고예요! 코로나때 알게되었는데, 지금은 탈모약을 받는데 유용하게 쓰고 있습니다. 앱 안에 정보들이 많은데, 여기저기 구경하다보면 코인도 많이 주셔서 나중에 병원비와 약값 결제할 때, 활용할 수 있었어요. 특별히 탈모약은 1년으로 설정, 한번에 진행할하고 최저가 검색까지 해줍니다. 여기가 성지입니다. ^^;;;",5
"[ 6 E 5 C 7 C 2 F ] 유용한 정보도 얻고 걷는 만큼 캐시도 받을 수 있어 좋지만 지난 주부터 걸음수 오류가 발생하고 있습니다. 아무리 걸어도 걸음 수가 올라가지 않습니다. 오류의 일정한 패턴도 없습니다나만의닥터 앱은 사용하기 아주 쉽습니다. 걷기만 해도 또한 매일 퀴즈만 풀어도 매일 쌓이는 리워드가 있는데 나중에 다양하게 사용할 수 있어 매우 유용합니다. 한가지 아쉬운건 영양제 100원 핫딜이 있는데 엄청 빨리 클릭을 해야 하기에 순발력이 필요하답니다 , 닥터포인트를 쓸수 있는 곳이 한정적이라 저한텐 해당사항이 없어서 아쉽네요. 닥터포인트를 사용가능한 곳이 좀 더 다양해지면 더 좋을것 같아요.",5
만보걷기 간단퀴즈 영양제먹기등으로 포인트 얻을수 있는데 광고가 없어서 좋아요. 걷기연동 오류가 있어서 그점은 개선되어야 할거 같아요,5
"만약 필자가 안약을 필요로 하는 상황이고 재진선호도가 높은 병원을 찾는데 막상 찾은 병원은 안약 관련된 진료를 제공하긴 하지만 이전에 사후피임약,다이어트약 같은 진료만 하여 높은 선호도를 받는 병원일수도 있다는 것임, 또한 리뷰수가 엄청 많아도 내가 찾는 약과 관련된 리뷰는 없는 경우도 있음",2
나만의닥터를 알고 비대면으로 도움 많이 받았네요 최저가로 쉽고 빠르고 편리하게 이용했습니다 또한 그동안 몰랐던 의학상식을 재미있고 알기쉽게 퀴즈로 풀며 캐시와 상식 두가지 다 얻을수있어 좋았습니다 좋은앱 감사합니다,5
매일 퀴즈로 상식도 얻어가고 만보기 등 건강도 챙기면서 포인트 얻기도 좋고 현재는 비대면진료가 어렵지만 예약시 포인트 사용도 가능해서 좋아요,5
"건강상식과 영양제 먹기, 혈당, 혈압,체중 기록으로 건강관리뿐 아니라 걷기를 통해 몸 건강까지 챙기며 다른 앱엔 광고가 너무 많은데 광고없이 포인트 적립후 제품 구매 및 영양제 100원 핫딜을 통해 8종에 영양제를 받아 챙겨 먹고 있습니다. 감사합니다",5
"배송현황 알림만 켜놨는데 뭐 퀴즈가 열렸네, 검색한 병원 예약이 곧마감되네 어쩌네 저쩌네 계속 알림이 오는지? 광고성 알림도 거부 되어있고 모든 앱 알림꺼놨는데 왜 자꾸 알림이 오냐구요",2
"가격대 순서대로 병원 목록을 볼 수 있는 점이 가장 편리하고 좋았고, 비대면 음성과 화상 진료가 전부 가능한 점 또한 좋습니다",4
아주 유용한 앱을 발견하였습니다. 앱으로 예약도 가능하고 할인도 가능하네요. 앞으로 잘 이용하겠습니다.,5
