리뷰,평점
요즘 코로나로 인하여 비대면서비스가 전반적으로 뜨고 있는 상황인데 약배달서비스가 이렇게 편리하게 가능한 어플은 정말 혁신적인 거 같습니다. 언제 어디서나 원격진료가 가능하다는 점과 약을 택배로 직접 서울권이라면 빠르게 배달을 받을 수 있다는 것 자체가 전반적으로는 많이 편리해질 것 같습니다. 닥터나우 앞으로도 꼭 기억하고 사용할려고 생각중입니다,5
최근 코로나 확진으로 재택치료를 받는 도중 닥터나우 원격 진료를 통해 큰 도움을 받을 수 있었습니다. 열과 기침은 나는데 보건소는 통화도 되지않고 집에 비상약도 없는 상황에서 인터넷을 찾아보다 알게 된 원격진료 서비스 닥터나우를 통해 자가 격리 상황에서도 빠르게 전문의에게 진료를 받고 해열제와 처방약을 배달로 쉽게 받을 수 있었습니다. 원격 의료야말로 코로나로 인한 비대면 시대에 정말 필요한 서비스가 아닐까 생각하며 추천합니다.,5
"비대면 진료앱 여러개 설치해봤는데, 닥터나우만 남기고 다지움. 내가 생각한 장점 1. 진료과가 다양해서 선택 폭이 넓다 2. 리뷰보고 원하는 의사를 직접 선택할 수 있다(대략적인 진료비도 같이 확인할 수 있음) 3. 주말에도 문연다 4. 처방전 확인하고 관리하는 게 쉽다 5. 사용하기 간편하다 (사용하기 어려운앱 진짜 많음..) 나라에서 해줘야되는 일을 닥터나우가 하고있는 느낌.. 물론 단점도 있지만 들어갈때마다 개선하려고 노력한다는 게 느껴짐.",5
비대면 진료 친절한 전화상담과 집근처 약국이용 여러모로 편하고 좋네요,5
감기진료조차도 안되는거.. 일반인 사용불가면 사용불가라고 좀 대문짝만하게 써놔라.. 비대면 환자군들만 쓸수있는거 다운받아서 낚이게 만들지말고 시간낭비한거 생각할수록 개열받네,1
훌륭합니다. 얼마동안 무료로 진행될지 모르겠지만 해외에서는 병원가기가 어려운걸 아는사람으로써 무료로 의료진들의 의견을 받을수 있다는게 얼마나 대단한건지 잘모르실수도 있느나 저는 정말 좋은 앱이라고 생각합니다.,5
생각보다 약국에 없는 약 처방전받아서 계속 약있나없나 확인과정이 너무 번거로워요.. 목소리도 안나오는데 약번호불러야하고..말하면없고..약국 문은 안열려있고.. 퀵주문도 안돼고.. 조금 많이 불편해요. 진료 30초에 진료비만 나가고.. 약은 못받고ㅠ하아,2
최고예요 진짜.. 어떻게 이 정도 수준의 서비스가 무료지? 싶을 만큼.,5
갑자기 로딩이 왜이렇게 느려졌나요.... 저만그런건가요,4
질문도 무료고 답변도 빨라서 너무 좋아요!,5
일이 바빠 병원갈 시간이 없었는데 완전 도움 됐습니다 강추,5
주말껴서 한번 몸살이랑 장염이랑 온갖 병이 한번에 터진적이있어요. 집에는 아무도 없고 아예 침대에서 일어나지도 못하고 끙끙 앓고있을 때 닥터나우 도움받았어요. 비대면 진료하고 퀵으로 약 받아서 잘 넘겼었어요.,5
닥터나우 정말 편리한 앱이네요! 신뢰성이 높아 믿고 이용합니다! 실제 진료받은 후기들이 작성되어 있어 병원 진료시 참고하고 선택할 수 있어 너무 좋고 증상별로 원격진료까지 받을 수 있어 요즘같은 비대면 시대에 꼭 필요한 앱이네요! 현대인이라면 꼭 이용하고 이용할 수밖에 없는 필수앱 닥터나우 추천합니다.,5
어플 자체는 너무 좋아요. 이동할 수 없는 상황에서 배달된다는게 현 시국에서 정말 필요한 어플이었어요. 다만 앞으로 제휴하는 곳이 늘어났으면 좋겠네요! 아직까진 저희 지역은 배달이 안되는 것 같아서 아쉽습니다! 그래도 현 시국에 꼭 필요한 앱으로써 추천합니다~,5
"휴일에 아플 때 유용하게 사용하고 있습니다. 아플 땐 사소한 것들도 귀찮고 짜증날 때가 많은데, 닥터나우 앱은 인터페이스가 잘 구축되어 있는 것 같습니다. 로그인 시 혹은 약 수령 가능한 약국 확인 시 초기화면으로 돌아가는 등 가끔 귀찮게 느껴질 만한 것들이 닥터나우 바로 진료 선택이 가능해서 만족스러웠어요. 진료받은 의료진분들도 친절하시고 증상에 따라 약 처방해주셔서 좋았습니다. 감사합니다!",5
"비대면 진행이지만 의사선생님이 직접 전화해서 확인해주시고 안내해주는것도 좋았고 요청에 대한 비대면진료와 처방이 약 배송까지 병원-처방-약국-조제-결제-집배송까지까지 연계된 일관된 진행이 믿기지 않을 정도로 잘 처리되네요. 처음 이용해봤는데, 놀랍고 신선했습니다. 앞으로도 웬만한건 굳이 병원에 직접 가지않고 닥터나우 이용할것 같습니다. 닥터나우, 최곱니다~!",5
"진료부터 약배송까지! 항상 서비스가 있었으면 좋겠다 생각했는데, 그게 드디어 생겼네요^^ UI도 편리하고 잘 만든 어플입니다. 코로나시대에 밖에 나가기 힘든데 매우 편리한 서비스라고 생각을 해요. 개발자분들에게 감사하다는 인사를 드리고 싶네요. 항상 건승하시고, 새해 복 많이 받으세요!!",5
언제 어디서든 편하게 비대면으로 진료받을수있다는 점이 가장 좋은 것 같아요! 정말 편리하네요~ 비슷한 비대면진료어플은 많아도 약까지 배송되는 어플은 처음인것같아요! 완전 추천이요!,5
비대면 진료가 가능하고 약처방까지 받을 수 있어 1인 가구나 병원가기 어려운 현 상황에서 많은분들이 편리하게 이용가능한 어플이라 생각하고 유용하게 쓰고 있는중입니다. 계속적인 업데이트와 기능확장으로 더 알차고 도움되는 어플이 되길 기대합니다.,5
몇달전부터 실시간 고민상담 질문게시판을 이용할때 사진 첨부하면 무한로딩 업로드가 안돼요,1
세상 좋아졌네요.. 약도 배달해주는 세상이 왔다니 너무 신기하고 자주 사용할것 같습니다. 증상별로 선택할수 있게 메인에 카테고리가 구분되어있는점이 참 좋네요. 거리순 가까운 병원찾기도 쉽구요. 자주 사용할게요~,5
어플 화면도 보기 좋고 진료 후기에 진료비까지 볼수 있어서 좋아요 내위치에서 가장 가까운 진료 가능한 병원을 안내해주는것과 약 배달은 정말 엄청난 서비스 같아요 본가는 지방이라 사용하기 어렵겠지만 닥터나우 많이 흥해서 전국에서 유용하게 사용할 수 있었으면 좋겠어요 닥터나우 화이팅~!!,5
메인에 증상에 따라 원하는 카테고리를 찾을 수 있도록 메뉴를 배치한 것이 가장 좋았어요. 특히나 어르신들이 사용하시더라도 가독성이 떨어지지 않도록 큼직큼직한 글자 크기에서 배려가 돋보네이네요.🥰👍,5
배달비 결제 후 배달가능한 약국이 없다고 해서 취소됨 그러나 배달비가 환불이 안되어 있음 그 상태서 다시 배달로 결제 하고 성공했는데 결국 배달비가 두번 결제됨.. 고객센터 문의나 톡이나 전화 등 너무 연결이 안됨.. 오늘안에 답변 받을 수 있을지 의문.. 비대면이란 측면에서는 좋으나 이런 문제들을 개선해주셨으면 좋겠습니다,1
"앱을 통한 비대면 진료라니 처음엔 이용에 익숙하지 않았는데, 요즘같은 비대면 시대에 딱 좋은 것 같아요. 특히 병원을 방문할 시간도 없을 때, 아파서 움직이기조차 힘든 경우가 많은데 핸드폰을 통해서 진료받을 수 있다니 너무 편리합니다. 전화로 이뤄지다보니 자세한 증상에 대해 얘기하면서 오히려 더 꼼꼼하게 진료를 봐주시고 의사선생님들도 친절하십니다. 완전 추천해요!",5
앱 인터페이스 깔끔하고 서비스도 좋네요.다만 아직 서비스 지역이 좁은것 같아요.전국적으로 확대되어 지방도 이용할수 있게 되면 더 좋을것 같아요.그땐 지역별로 병원 검색하는 기능도 넣어주세요.,3
완전 신기하고 대단한 어플이에요! 요즘같은 비대면 시대애 너무나도 찰떡인 어플이 아닌가 싶습니다. 감기약 혹은 비염약 이런 사소한 것들부터 가능해서 아주 편하구요! 전 시스템 어렵지 않아서 너무 좋네요 ㅎㅎ 추천합니다.,5
병원 가기 힘든 직장인이 이용하기에 너무 편리한 어플이에요~~ 어느 병원을 가야 할 지도 고민하느라 시간을 많이 보내는데 닥터나우는 그런 고생을 하지 않아도 돼서 너무 편하네요~ 특히 코로나로 인해 밖에 나가서 병원까지 가기 좀 꺼려지는데 비대면으로 처방까지 받을 수 있는 점이 최고의 장점입니다!!! 편리한 어플 감사합니다!,5
병원가기 힘든 상황이나 또 막상 병원가도 간단하게 진료가 끝나기도 하는데 가는시간도 줄이고 비대면 진료를 간단하게 할수있어서 좋은 어플인것같습니다! 제휴된약국이 근처에 없으면 직접 가야한다고 하는데 이부분이 잘 해결된다면 편리한 서비스를 닥터나우를 통해 자주 사용할것같아요~,4
"바쁜 현대인에게 아주 좋은 앱이에요! 요즘 병원갈 시간도 없는데 비대면 진료에 야간진료나 공휴일,주말 진료도 되어서 너무 유용해요~! 앱도 깔끔하게 되어 있어서 가독성도 좋고 이용하게 편하고 쉬워요",5
친절하고 편리하고 신세계네요,5
닥터나우 이용하려니까 도대체 이건 무슨말이예요??? 탈퇴후 60일이내에 재가입을 할수없습니다 이라고 하는데 이러면 언제 회원가입해서 쓸수있다는거예요?? 도대체??,3
"바빠서 병원가기 힘든데, 이 앱 덕에 진료받고 약 받아서 많이 나았아요",5
"민감한 의료정보를 맡기기엔 너무 허술한 앱. 똑닥 유료화를 봐도, 의료영역은 공공재로 남아있어야만 한다고 생각. 진정한 제도화를 위해선 사설업체대신 건강보험공단에서 만든 공공앱이 있어야 할 듯. 의료가, 누구하나 엑싯 잘 해 벼락부자 되라고 있는 건 아니니까.",1
"약 배달 어플이 생겼다고 해서 설치해봤는데 UI도 깔끔하고, 편리하게 되어있어 기대됩니다. 1인 가구가 많아져 혼자 아플 때 사용하기 좋을 것 같아요. 어플이 잘되서 많은 지역에서 서비스 되었으면 합니다.",5
지인에게추천을받아서 당장설치해서 알아보고 결제까지햇습니다 정말코로나시국에 비대면상담과 제품에대해설명까지 자세히 해주셔서 감동이엿어요 대면해서 가는것과 별다를게없드라구요!! 아기피부가안좋아서 사진까지올려서 사진보시고상담해주시니 좋더라구요!!추운날씨에 나가기도걱정되고 코로나도걱정되시는분들은 적극추천입니다 자주이용할거같아요^^,5
"지금 같이 코로나 때문이라도 밖에 나가기가 수월하지 않죠? 한마디로 이 어플은 원격진료와 처방 받은 약까지도 배송 받을 수 있는 아주 유용한 어플입니다. 코로나 때문에 진료 받기도 꺼려지고, 직장인의 경우도 자리를 비우기가 힘든 상황일때 정말 유용합니다. 게다가 위치정보를 동의 하시면 주변 병원과 약국을 한눈에 확인 할 수 있어 좋습니다. 몸에 혹시라도 이상이 있으시면 증상별로 원격진료 가능하니 한번 이용해 보세요.",5
약 배달 앱이라니 너무 신기하네요. 요즘 비대면 진료도 활발해지려고 하는데 검증된 방식으로 처방된 약을 배달받을 수 있어서 앞으로 자주 활용하려구요. 이미 많은 사람들이 사용하는 앱이라 믿을 수 있어서 더 좋네요. 주변 사람들이 추천해서 가입했는데 앞으로 많이 사용하게 될 것 같고 메뉴도 심플하고 이뻐서 마음에 듭니다. 앱도 빨라서 좋아요!,5
"잘썼는데 이젠 안되네요, 기본 카드정보 삭제 가능하게 부탁드립니다.",4
급조한 느낌 드네요. 정말 불친절한 앱입니다. 카드 등록은 가입시점에 등록했어야지 UI테스트는 해보신건가요? 진료접수하기 버튼이 항상 비활성화로 되어 있어 비대면 접수자체가 불가합니다. 이 문제는 제 휴대폰과 관련된 것 같긴하네요.,1
다른 비슷한 앱 깔았다가 쉽지 않아 검색해서 이앱을 깔고 진료받았습니다. 환자 수는 많고 진료하는 의사수는 적다보니 비대면 처방받는게 쉽지는 않았지만 우여곡절 끝에 받을수 있어 좋았습니다. 한가지 수정했으면 하는게 거리순으로 정렬했을땐 등록된 주소지와는 다른게 안내되는것 같아 무척 불편했습니다. 등록 주소지와 가까운 병원순으로 정렬된다면 불편을 좀 줄일듯 합니다.,4
진료는 친절히 좋았습니다. 코로나 환자가 많아서 그렇겠지만 계속 접속인원 초과로 접속할 수 있는 병원이 없어서 접수시에 많이 힘들고. 약 신청시에 약국에 처방전 전송시에도 응답이 너무 오래걸리고 택배로 예약시 접수약국은 전화기가 계속 꺼져있다고 연락이 아예 안되어 조금 아쉬웠습니다.,4
우선 비대면으로 진료도 가능하고 약을 받을수 있다는거에 혁신적이라 생각합니다!! 단 코로나 시국에 코로나 확진자 진료를 보려고 하는데 대기가 꽉차 진료예약도 힘들었고 어떤 의사분은 진료예약이 꽉차니 영업종료로 바꿔놨다 다시 진료받았다 왔다갔다 하는데 그런부분이 좀 이상했어요!! 아무튼 혁신적이고 좋았습니다!! 계속 이용할거같아요,4
클릭해서 들어가면 대기인원 차 있고 힘들게 기다렸다 진료보면 의사는 빨리 처리하고 넘기겠다는 느낌이 너무 강함. 이렇게 진료 받으려고 기다렸나 싶어 화남. 코로나 시대 비대면 재택치료에 너무 좋은 서비스이긴 하나 제가 경험한 서비스는 너무 최악이였음. 별 하나도 아까움.,1
제가 비염때문에 이비인후과를 자주 가는 편인데 요즘 코로나 때문에 마스크를 벗고 진료 받아야하는 점이 꺼려지더라구요ㅜㅜ 간단한 약 처방만 받으면 되는건데.. 그런데 이 앱을 통해 비대면 진료로 빠르게 처방 받을 수 있어서 넘 편리하고 시간도 절약했어요 앱도 보기 쉽게 되있고 병원마다 진료후기도 있어서 비교하면서 병원 선택할 수 있어서 넘 좋았습니다. 요즘같은 시국에 큰 메리트 있는 앱이네요 강추합니다!!,5
"UI가 정말 간편하고 실용적이다. 근데 UI만 간편하고 실제로는 팩스전송 해주는 척하면서 안전송하고, 처방전 다운로드 가능한 척 하면서 다운로드도 안된다. 병원과 약국에 문제가 있을 거라 생각하였으나 앱에 문제가 있어 약을 처방받지 못했는데 이걸로 두시간은 버린듯 하다.",1
요즘같은시국어 23개월아기데리고 밖으로돌아다니는것조차 버거운데 이런 좋은어플이있다는걸 알게되어 다행이예요^^ 덕분에 아기피부진료도 영상통화로 비대면진료하구 약처방에 택배배송에 실비청구편리함까지 모든게 일사천리로 편하게진행되어 너무만족했습니다. 계속해서 진료과목들이 추가되고있던데 널리널리홍보할게요^^ 올한해도 고생많으셨어요,5
저는 개인적으로 이 앱이 너무 편리해서 영원히 이용하고 싶습니다. 약처방 하나 받을려고 시간내서 병원가기 힘들때 너무 편하게 받을수 있어서 개인적으로 너무 좋아요 ㅠ처음엔 대기시간도 길었던것 같은데 요즘은 너무 빠른진료에 약도 당일 발송 해주시네요.비대면진료 앱이 있어서 저같은 사람에겐 너무 유용합니다.,5
요즘 같은 코로나 시국엔 진짜 활용도 높은 그런 앱이 아닐까 생각되네요 저번에 약한 감기여서 .. 병원을 가기에도 에매 하고 .. 진료를 어떻게 볼까 하다가 찾은 앱인데 .. 진짜 유용하게 이용하였네요 결제 부분도 간단 하였고 약까지 배달 받을 수있어 너무 편리하더라고요 앞으로 자주자주 활용 해볼 듯 싶습니다 (아이 키우는 집에선 진짜 활용도 높은거 같네요 ),5
아직 사용전이지만 요즘 같은 코로나시국에 병원에서 대기없이 앱으로 하기 좋은 것 같네요. 몇달전에 병원에 비대면 진료 및 약 처방전 문의했는데 시골이라 그런지 안된다고 해서 병원방문했는데 약만 주기적으로 타러 가는 거면 앱사용이 여러모로 좋을 것 같네요. 설치 후 메뉴 살펴보았는데 사용하기 편할 것 같네요.,5
의사랑 통화만으로 약처방을 받을 수 있는게 정말 신기하네요 집주변에서 좋은 의사 만나기도 힘든데 리뷰로 꼼꼼히 확인할 수 있고 앱에 있는 모든 의사에게 진료받을 수 있는게 혁신적입니다 제대로 안착하면 의료계에 큰 변화가 오지 않을까요? 우선 첫 앱사용경험은 매우 좋습니다 집밖을 한발자국도 나가지 않고 진료에다가 약까지 배달받으니 이만큼 합리적일수가 없네요 좀더 보완되어야할부분도 있어보이지만 굳이 말하지 않아도 잘 고쳐나갈거같습니다 재빠르게 움직이는 앱같으니까요 잘 지켜보고있겠습니다.,5
사용자가 많아 계속 대기인원 초과 뜨는 것도 이해하고 대기인원이 남아있는 상태에서 클릭한 후 대기인원 초과가 되는 것 까지도 다 이해합니다. 다만 매번 진료요청서를 다시 작성해야하는 게 너무나도 짜증나고 진짜 빡치네요 하...... 작성해놓고 저장해두었다가 계속 활용하도록 해주면 안되나요? 하...,1
정말 거지같이 만들어놨다. 대기인원수를 한계를 정해놨는데 빈자리가 생겨서 버튼 눌러 들어가서 문진표를 한참을 작성하고나면 대기초과라고 뜨며 접수가 안된다. 접수 버튼을 누르면 문진표 작성하는 도중에 다른 사람이 신청 못하도록 막아놔야지 이건 뭐 한참 작성해놓으면 먼저 작성한 사람이 들어가버리고 나머지는 헛짓거리한게 되버린다. 그리고 그 짓을 수십번해야 될까말까다. 대학교 수강신청도 이보다 힘들진 않았다.,1
쓰레기 앱입니다. 좋은 리뷰들은 그냥 댓글알바라고 생각하시면 될 듯 합니다. 여러 편의성 측면에서 문제가 매우 많지만 무엇보다도 등록되어 있는 약국의 절반 이상이 전화번호가 잘못 기재되어 있다는 점이 치명적입니다. 비대면으로 병원과 약국에 연락이 가능토록 하는 것이 이 앱의 목적 아닌가요? 가장 기본적인 것조차 준수하지 못하는 앱입니다 이 이상으로 어떠한 설명이 더 필요할까 싶네요,1
매우 최악입니다. 진료병원 거리순으로 정렬해도 5키로 2키로 중구난방으로 제대로 정렬도 안되고 가능하대서 들어가 남기고 있으면갑자기 예약 불가하다고뜨고 병원연락없으면 30분후에 취소되는데 병원진료 어찌어찌 다보고 약국으로 전달해서 배송요청했는데 지금 2시간째 자동알림처럼 약국으로처방전을 전송중입니다. 가격을확인한후 알림으로 알려드릴게요! 라는 알람만 6번 왔어요. 진행사항 확인하려고 답답해서 전화걸어도 연결안되고 채팅연결해도 연결안되고 진짜열받네요.,1
코로나 확진자로서 사용해보니 정말 좋고 편함. 다만 병원의 일방적 취소에 대한 패널티가 없으면 도태될 어플임. 예약은 몇시간해서 성공해도 일방적 취소로 진료가 불가함. 가능한 인원만 받던지 취소에 대한 패널티가 필요함. 많은사람이 이용하고 많은 의사들이 등록되어야 문제가 해결될것으로 보이는데 예약취소가 계속 이루어지면 어려울 것같음,3
"피부과 진료 받았습니다! 피부가 좀 안좋은 편이라 주기적으로 약을 먹어야하는데 늘 3분 진료보러 피부과까지 가는게 귀찮았었거든요,,, 대기도 길고 멀고,,, 근데 전화로 진료보니까 대기도 없고 약도 빨리 배달오고 또 대면진료보다 더 친절했어요!! 궁금한거 계속 여쭤봤는데도 친절하게 알려주셔서 좋았습니다 앞으로도 계속 이용할 것 같아요",5
국내 최초여서 더욱 신뢰가 가는 닥터나우! 요즘처럼 코로나19로 원격진료나 비대면 상담이 필요할때 가장 필요한 플랫폼이라 느껴요. 진료 뿐만 아니라 처방 및 조제약 배달도 가능하고 종합적인 의료 서비스를 비대면으로 제공받을수 있어서 자주 애용하게 될것같습니다. 특히 직접 줄서서 기다릴필요가 없는 장점이 제일 좋아요♡,5
꾸준히 사용하는 앱이예요. 병원에 직접 가지 않고도 편하게 진료를 받을 수 있어서 무척 좋았습니다. 그리고 건강관리가 가능하도록 타병원 진료 기록도 통합해서 보여주고 무엇보다 건강관리를 하면서 포인트도 적립 받을 수 있다는 점이 좋네요. 약배송비 결제에 적립 받은 포인트를 사용할 수가 있거든요.,5
환자를 지나치게 을로 만드는 앱이네요. 1.결제관리 등 등록해야하는 요소는 예약 전에 좀 미리 하도록 안내하든지해야지 들어가서야 그걸 해야한다알려주니까 그걸 하고나면 인원초과 떠있네요. 2.작성도 미리 복사해서 해놔야하고 들어가고부턴 나가지말고「신청-> 확인」 무한반복하고있어야함. 3. 겨우 예약잡아두고 진료 기다라다가 바로 되는 건 또 아니고 시간 안내해주는 것도 아니라 언제 될지몰라 딴 거 좀 하고있으면 전화는 스치듯 몇초 걸고 바로 진료취소걸어버리네요. 제가 순간 무음으로 설정해놓은 줄. 그냥 계속 폰만 보고있으란건지.,1
어느 과나 검사를 선택해야할지 물어보고 싶었는데 먼저 골라서 질문을 해야하는 게 이상했어요 기저질환자가 아니라면 저같은 경우 많을 거라고 봅니다 선책사항이었으면 좋겠어요 그리고 전부 서술형이 아니라 의료인 분들이 열/구역감/어지럼증/병력 등 증상을 쉽게 보도록 체크형이나 선책형으로 만들어주셨으면 합니다 길게 쓰니까 별 도움 안 되게 읽지도 않으신 듯 문제요점도 파악 못하시고 애매한 조언 해주셨어요 답변이 빨리 달리는 건 좋았지만 정말 필요한 조언은 얻을 수 없었어요,3
어플에 대한 평 안 남기는데 이건 남겨야할듯.. 사용했던 어플 중 최최악 카드 추가 기능도 안되고 최소 실패했으면 어떤 사유로 실패했는지 알림창이 나와야하는데 실패했다는 알림창 무한반복 설계하신분 사용자 입장에선 생각안하신듯 고객센터 대응도 최악 지금 사용하는 대다수 사람들이 코로나 확진일텐데 30분 이상씩 고객센터 답변 받기 위해 대기중에 전화연결은 절대 안되고! 한시적으로 인원을 늘려야했던건 아닌지... 시스템도 CS도 최악임,1
진짜 유용한 앱이네요. 주로 평일에 병원을 방문하는데 방문 할 때마다 5분도 안되는 진료때문에 대기 30분+왔다갔다 하는 시간까지 대략 1시간 정도를 쓰게되는데 딱 필요한 시간에 효율적으로 쓸 수 있어서 좋네요. 진료 목록도 다양하고 의사샘도 많이 계셔서 후기보고 고를 수 있다는 점도 장점이네요 ^^,5
처음 비대면 진료를 받아서 약배송까지 편리하게 받아서 정말 좋았습니다 지방에서 탈모처방을 1년 받기도 힘들고 해서 우연히 블로그를 통해 닥터나우를 알게 됐고 비대면 진료에 약처방도 저렴하게 1년분을 확보할 수 있어서 정말 좋았습니다 기회가 된다면 자주 이용하려고 합니다 감사합니다,5
"바쁜 평일, 동네병원 휴무인 주말, 아파서 병원갈 힘도 없을때 전국에 있는 친절한 의사샘들에게 편하게 진료받을수 있어서 좋습니다 비대면이여도 전화로 진료 잘 해주시고 (전화도 빨리와요) 결재도 카드등록해놓으니 자동 결재되고 너무 편해요 약국에 처방전가면 바로 약 받을수있고 배달도 된다니 진짜 혁신인것같아요! 진료과목이 세분화되어 있어서 선택하기도 편해요 진짜 편하게 잘 사용하고 있고 지인에게도 알려줬어요 삶의 질이 향상한 느낌 입니다 :)",5
"비대면진료 도와주는 앱으로 너무 좋아요~ 토로나 시대에 특히 수시로 아픈 아이들의 경우에도 이용하기 편리하고, 시간내기 힘든 직장인에게도 만족스러워요~ 직접 병원찾아서 가는 고민이나 수고스러움도 덜고 약처방에 배달까지~ 시간절약에 편리함에 이용이 편해요~",5
자가격리 상태라 외부와 단절되 있는데... 몸은 아프고 보건소는 전화를 안 받고 힘들었었는데... 비대면 진료로 약을 문앞까지 배송해 주셔서 너무 좋았습니다 다만 코로나확진자들이 너무 많아서 진료신청하는게 너무 힘들었어요 30명 제한을 풀어주시면 좋을거 같아요,5
"좋은 앱 덕분에 저랑 딸 약 처방 잘 받았습니다. 격리된지 며칠이 지나도 전화 한통없는 방역당국 기다리는 것 보다 닥터나우 앱이 훨씬 현명한 선택인것 같습니다. 버퍼링이 가끔 걸리는 문제가 있고, 접속시 거리순 확인이 늦게 되는 데 개선되면 좋겠습니다. 가족등록란에 부모 자녀만 있는데 배우자도 추거해 주시면 좋겠습니다.",5
편하고 좋아요. 그런데 대체약이면서 더 비싼게 오는 경우도 있어요. 어차피 배송인데 정확한 약 받을 수 있게 대체조제 거부옵션도 있었음 합니다.,4
진료 신청이 생각보다 쉽지 않고 특히 코로나 관련. 병원측.일방적 취소가 아쉬우나 지금 같은 시기에 비대면 치료가 가능해서 유용한 어플인거는 확실합니다. 추후 위와 같은 점이 개선되면 좋을듯 합니다.,5
"자가격리 기간에 사용을 해봤습니다. 의사진료부터 약처방 후 배송까지 반나절도 안되서 끝났습니다. 정말 획기적인 어플입니다. 특히 진료시간 대기도 따로 필요 없었고, 모든게 방안에서 핸드폰으로 다 끝났네요. 다음에도 또 이용할 예정 입니다.",5
