리뷰,평점
좀 약았음. 출석체크 포인트모으기로 열심히하고있었는데 첫달에는 하루에 100포인트씩 주다가 다음달에 공지없이 50포인트로 줄어들더니 그 다음달 되니까 출석체크화면 사라짐. 완전 없앤건지 출석체크 자체를 2달만 되게 해놓은 건지 모르겠지만 정말 별로임.,2
업데이트 되고 나서 접수화면으로 로딩이 걸리면서 화면이 일부만 보여져서 접수버튼이 보여지지 않아요 지난번에도 접수하려니 통신오류 걸리고 정말 답답하네요 가뜩이나 소아과 대기 시간 긴데ᆢ미리 접수가 안되니 무용지물이예요,1
치료받고 있는 중인데 신뢰가 갑니다. 손마비때문에 진료받기 시작했는데 많이 좋아졌어요~모두 친절하세요-,5
아주 친절하고 자상하며 실력 있는 병원 인것 같아요 멀리 전주에 가지 않고 가까은곳에서 진료받고 대부분 해결되더라구요,5
포인트 진짜 야박하네요. 출석 포인트도 확 줄이더니 결국엔 출석 포인트도 없애고. 그러더니 이젠 만보기 포인트도 없애고 ㅋㅋㅋ 진짜 야박하네요.,1
건강검진 잘 받고 왔습니다 친절한 간호사 언니들 감사해요 원장님은 항상 변함없이 친절합니다 항상 감사해요👍👍,5
앱이 로고만 뜨고 그 이후 로그인이든 뭐든 메인 홈 화면으로 넘어가지 않습니다... 만보기 포인트 오늘 중으로 클릭해야하는데...,1
친절하시고 무엇보 다원장님 진짜대단하세요 침한번 맞고오면 정말안아프고 편안함니다 정말이렇게 좋을수가업어요,5
친절하고 세밀한 치료에 감사 드리고 더욱 발전되는 .병원이되길 기원합니다 !!,4
지인 소개로 처음 방문했는데 병원도 깨끗하고 원장님이 너무 친절하게 궁금한점을 말씀해주셔서 아주 좋았습니다~^^,5
오래전 부터 이병원. 다니고 있어요 선생님은 좀투명 하시지만 병이 잘났아요. 그래서 계속 이용하고 있습니다,5
병원대기인원수등알고갈수있서서좋은것같아요.예약도하고갈수있고여,5
자녀 진료시 매번 주민번호 뒷자리 입력 너무 불편합니다!!!!! 한번 입력했음 자동으로 되야되는데 주말에는 가뜩이나 버벅되는 서버에 진료보려고 대기타다가 뒷자리 적느라 접수놓치고 지역맘카페서도 불편하다고 난리에요~ 빠르게 업뎃 해주세요.,1
왜 만보기 지정된 만보기 포인트가 왜 지워졌는지 궁금하네요 1000 보 10p 5000보 20p 10000보 100p 포인트 받을수 있는데 이유가 궁금합니다,1
항상빠른진료친절함에감사합니다,5
오늘 예약도없이 병원에 갔는대도 친절하게 대해주시고 몸에 이상이 있는것같아서 많이 걱정을했는대 선생님깨서 초음파 검사를 정성것 해주시고 친절하게 설명을 해주셔서 너무 감사 했습니다 오늘 너무 감사했습니다 다음 정기검사때 봴깨요 감사합니다~~**,5
선택한 병원 진료 접수 확인 메세지 알림 으로 편리 해서 계속 이용 하고 있어요 ^_^,5
"확진자 동선이 없어졌네요.넘 좋았었는데.거기 신천지 교회와 신천지 부속기관도 표시되어 있어서 유의하며 지나다녔는데, 왜 없어졌나요? 다시 만들어주시면 안되나요? 코로나 공포+신천지 바이러스 공포까지 더해져서 힘든시간을 보내고 있어요. 신천지 표시만이라도 다시 보여주시면 좋겠어요.마스크 물량은 비교적 맞아서 저는 어플에 감사하며 잘 사용하고 있어요.감사합니다. 부탁드려요~ 신천지 기관 표시해주세요.",4
네이버 지도로 약국 찾는거랑 뭐가 다르죠..? 병원 예약하기 접수하기 눌러도 주변에 굿닥에 등록된 병원들 리스트 뜨고.. 누르면 전화하기 버튼밖에 없네요.??? 전화만 할거 같으면 걍 네이버 지도에서 원하는 병원 선택해서 전화연결 하면 되요;;; 네이버에서 미용실 예약하는것도 날짜선택. 시간선택. 디자이너 선택 이렇게 버튼만 눌러서 간편하게 되는데... 굳이 이 어플을 깔아서까지 전화번호를 알아낼 필요는 없는것 같네요;; 자주 가는 병원에 굿닥으로 하길래 깔아서 실컷 가입하고 했는데 필요성 못느껴서 회원탈퇴하고 지웠습니다,1
"잘 사용하고 있었는데... 삼성폰 업데이트하고부터 예약하려고하면 계속 로딩만되다가,. 접수 소켓 응답시간 초과로 나옵니다.. 아이가 병원에 자주 다녀서 예약은 필수인데...사용하는데 너무 불편함을 느끼고있네요. 혹시 나만 안되는건가싶어 남편 폰으로 어플 다운 받아서 해보았으나 역시나 똑같습니다. 빨리 좀 해결해주세요...병원예약안하고가면 넘나 오래 대기해야합니다..ㅜㅜ",4
바쁘신분들이 간단하게 진료보고 싶을때 굉장히 유용합니다.,5
다른 인터페이스는 좋지만 비대면 진룐.ㄴ 불편합니다. 지금 내가 신청한 비대면 진료의 현황도 확인할수 없고 대기현황도 안나오니 꼬박 하루를 기다렸네요.. 그리고 비대면 진료시 페이스톡으로만 진행되는게 불편합니다. 스피커폰으로만 음성이 나와서 아무데서나 신청할수가 없네요..,3
마스크 때문에 어머님 깔아드렸는데 보통 나이드신 분들은 화면이 잘 안보여서 글자 크기를 크게 해놓는데 그렇게 하고 보니 화면 위쪽ui와 공유하기 버튼이 너무 커서 위쪽 절반 잡아먹고 아래로는 약국 이름부분이 또 절반 잡아먹어서 정작 지도는 화면의 절반도 안되게 보이네요,3
"수고가 많으십니다. 마스크 스캐너기능은 참고용으로 잘 사용 중입니다^^. 그런데 확진자 동선, 신천지 위치까지 알려주다가 사라지니까 너무 아쉬워서 별점4점체크했습니다..다시 살릴 수 없는 기능인가요?",4
친절하고자세하게진뇨하셨습니다,1
앱에는 대기자 0명으로 뜨는데 계속 대기중 ㅋㅋ 맞지도 않는거 왜 깔라고함,1
"인천에선 아직 협력병원들이 많지 않은가요? 반경 1킬로미터 내에 상급병원 한 개, 각종 의원급들 수십개, 요양병원 여러개, 고층 의료타운 등이 있는 동네에 살고 있는데 가장 가까운 순으로 정렬 하니까 제일 가까운게 2킬로미터... 당연히 동네 그 수 십개 병원들 하나도 안 보이네요. 자주 가는 병원 예약 해 볼까 했는데 당황스럽네. 혹시 진료시간 전이라 안보이는건 아닐테고. 그냥 현장 예약 해야겠네 몸살 심한데 ㅜㅜ",1
병원진료거부하는 나쁜병원,1
"최악이에요... 위치정보 동의하고 다른 지역 설정하면 어플이 깜빡이면서 작동도 안되고, 지웠다 다시 설치해서 위치정보 끄고 인기순 설정하니까 그 지역이 아닌 몇십키로 떨어진 곳을 보여주네요. 가까운 병원은 나오지도 않아서 어느 위치에 있는지 병원 하나하나 눌러봐야하고 병원 이름 누르면 정보 뜨는것도 너무 오래 기다려야 해요. 진료과랑 지역 선택하고 병원 한번 눌렀다 나오면 설정 다 초기화됩니다",1
다좋은데 어플이 안꺼집니다. 뒤로가기 눌러도 종료안됨 초기화면이 비대면진료여가지고 의도치않게 비대면진료를 봐버렸습니다.초기화면 고쳐주시면 좋겠습니다.,4
친절하고 잘 낫게 처방 해주십니다. 추천해요,5
Back key를 통한 종료도 되지 않고 위치제공서비스도 정말... 사용자의 편의성은 조금도 고려하지 않았던 듯 하고 다른 분들 리뷰를 읽어보니 다른 기능들도 제대로 동작하는 건 맞나 의심이 되네요.,1
굿닥이 여러 정보를 보기 편하게 제공하는 개척자적인 어플이라 여태껏 써왔네요. 근데 진료중인 병원이라고 방문해보면 닫아있는 경우가 수차례라 아예 다 전화부터 돌려보고 방문하는데... 번거롭게 유선으로 하나하나 확인할것같으면 어플 사용할 이유가 없잖아요? 정확한 정보의 전달에 포커스를 둔다면 다른 메디컬 어플보다 더 오리지널로서 잘될거라 생각합니다.,3
"앱 다운하고 카톡에서 접수현황 및 대기순번 확인할 수 있다는 링크 누르고 들어갔는데 전혀 관련없는 화면으로 넘어가고, 관련해서 서비스 문의하려 했더니 UI도 이상하네요.(키보드만 보이고 내가 치는 문자가 안 보임) 그냥 삭제했습니다.",1
"마스크 알리미 잘 사용하고 있습니다. 감사드립니다. 한가지 기능 추가 건의 드리고 싶습니다. 알리미 등록한 개별 약국마다 push 알림 요일을 선택할 수 있으면 좋을 것 같습니다. 개별 약국 리스트 아래에 일~토 체크박스를 넣어서 체크한 요일들(다중 선택 가능)만 해당 약국의 알림이 오게 말이죠. 주중에는 회사 근처, 주말에는 집 근처 와 같이 세팅하여 사용할 수 있도록 하면 더 좋을 것 같습니다.",5
어쨋거나 내 돈을 주고 해야하는데 약값이나 진료비는 몰라도 적어도 퀵비정도는 얼마가 드는지 공지를 해줬으면 좋겠습니다. 심지어 퀵을 신청하고나서 어떻게 처리가 되고있는지 확인도 안돼요. 그리고 그 어느것도 한번 신청하면 취소가 되지않아요. 처방전 받고 신청하기 전에 취소가 안되니 정말정말 신중하게 누르라고 가르쳐줬다면 저는 직접수령했을 것 같네요.,2
"예전엔 지도에서 원하는 진료과목 병원만 볼 수 있었는데 그 기능이 사라진건지 숨긴건지 이용하기가 너무 힘듭니다. 병원 찾아드리려고 다른 지역에서 진료과목으로 필터링 하려했는데 지도로 이동하면 온갖 병원 다뜨고, 검색하면 내 주변 위치로 뜨고 너무 이용하기 짜증나네요. 왜 굳이 있던 진료과목 필터링 기능을 없애신건지?",1
"마스크 도착시간 등을 고려해 판매시간 이전 장시간 대기를 보완하고자 번호표 배부하고 판매하는곳은 따로 표시를 할 수 있으면 좋겠습니다. ex) 보유(예약) : 30매(28매) 번호표 배부 우체국, 번호표 배부 약국 등/ 재고가 있는걸로 표시되지만 번호표받은 분들이 예약한것과 다름없어 헛걸음 하실수가 있거든요~",4
사용하면서 불편한점이 많아 어디부터 이야기를 해야 하는지 감이 잘안잡히지만 병원이 찾을수 없는 점과 거리와 현제위치는 서울 중구에서 고정이 되서 병원이 항목에 없다는걸 찾느라 시간을 소비했습니다 그리고 당연하게 현제위치 버튼과 주소 설정 그리고 카카오톡으로 직접 리뷰요청 알림에 적힌 병원 명을 복사해서 검색했으며 삭제와 재설치 재부팅까지 반복한 상태입니다 기본적인 시스템이 부터 개선사항이라 말해야 하는점에서 다시 이용하지 않겠습니다,1
코로나때문에 비대면진료가 필요해 깔았습니다 지도로 위치까지 설정해놓고 매칭하기 눌러서 전화로 진료까지 봤는데 결제하려고 보니까 병원 위치가 부산이네요...? 약 받는데 왕복4시간이나 필요할거면 비대면 진료는 왜 필요한건가요? 위치시스템이랑 집 근처 병원 탐색하는 기능을 전반적으로 재설정 하셔야 할거 같습니다,2
휴대폰 인증 후에 본인인증 완료 버튼을 아무리 눌러도 완료가 안되서 병원 예약을 못하고 있네요.. 어플 오류때문에 제때 병원에 못가게 되면 누가 책임져주나요.. 이미 몇번 예약했는데도 갑자기 본인인증은 왜 하라고 해서.. 그리고 병원 검색하면 서울시 중구로 설정되는거 좀!!! 개선부탁드립니다,1
앱 오류가 심하네요 이런거 잘 안남기는데 좀 심한듯 .. 특정 카테고리로 들어가서 둘러보다보면 뒤로가기가 아예 안먹히고 앱을 다시 켜야하구요 병원 리뷰 하나 보고 뒤로가기 누르면 다시 처음 화면으로 돌아가고ㅡㅡ 다시 리뷰 눌러서 봐야되는 이 시츄레이션 뭔지 ..,1
"안녕하세요. 홈에서 굿닥패스 사전신청을 하면 굿닥패스 탭말고 도로 홈으로 튕겨나오는 버그가 있네요. 일단 사전신청은 하단 탭으로 들어가서 완료했는데, 해당 버그가 수정되면 더 좋을 것 같습니다.",5
"지난주에 병원을 4군데나 다녀왔는데 😷 모두 다 굿닥 어플로 정말 편하게 확인하고 다녀왔습니다. 🙆‍♀️ 가까운 병원을 찾아주는건 기본이고, 검색시점에 지금 영업중인 곳을 한눈에 알려줘서 진짜 편하더라구요. 직장인이라서 퇴근시간대랑 주말 이용해서 다녀와야했는데...영업중인 병원을 빨리 찾아줘서 진짜 도움 많이 됐어요. (다른 사이트는 영업시간만 알려줘서 하나하나 비교해봐야해요...ㅜㅜ) 스크랩 기능있어서 그 수 보면서 어느 병원이 좋을지, 인지도도 추측해볼 수 있었구요!! 병원 전화번호도 하나하나 찾아볼 필요없이 그냥 바로 버튼 누르면 되고, 제가 길치인데 길찾기도 너무 잘되어 있어서 엄청 도움됐습니다. 몸 아픈 것도 서러운데 길까지 잃으면..🤧 왠만하면 글 안쓰는데 공휴일에 급하게 도움 많이 받아서 넘 감사해서 올립니다. 앞으로도 번창하시고 좋은 서비스 부탁드려요!!! (안아픈게 장땡이지만 공휴일, 야간에 오픈한 병원 찾으시는 분들께 추천드려요!!! 😀)",5
"1. 병원 연결 전에 해당 병원이 어디에 위치해있는지 알려주고, 여기서 진료를 받을 것인지 선택할 기회를 주면 좋겠습니다. 연결되는 병원을 찾다보니 집에서 너무 멀리 있는 곳이 자동으로 연결되어서 당황스러웠어요. 2. 약 배송 현황을 더 자세히 알려주면 좋겠습니다. 약이 배송되었는지, 어디에 있는건지 도통 알수가 없어서 답답했고, 언제 도착했다는 연락도 받지 못했는데 문앞에 나가보니 약이 이미 배송돼있더라고요. 배송기사님 연락처도 함께 알려주면 좋겠어요. 3. 상담센터 전화 연결이 잘 안 됩니다. 약 수령 방법을 변경하고싶을 경우 상담센터로 전화하라던데, 막상 전화를 하니까 받지를 않더라고요. 빠르게 운영되는 시스템인건 좋지만, 전반적으로 안내가 부족한 것 같아요.",3
"경쟁어플인 똑x에 비해 디자인이 다소 난잡하다. 뭘 좋아할지 몰라 이것저것 다 넣어봤어, 같은 느낌이다. 사용자경험적인 측면에 대해 고민이 부족한 게 아닐까. 가령 내가 아토피 때문에 병원에 가야 한다고 하자. 병원찾기 앱을 실행시킨 후 당장 뭘 하게 될까. '아토피'를 검색해보려 할 것이다. 경쟁어플은 마치 구글처럼 심플한 메인 검색창에서 바로 질병을 검색할 수 있다. 검색어를 치다보면 자동완성으로 질병의 분류, 과목이 같이 뜨기 때문에 어떤 병원에 가야 할지 감을 빨리 잡게 된다. 하지만 굿닥은 메인이 정신없다. 버튼도 메뉴도 많다. 병원 아이콘을 누르면 하단이 텅빈 썰렁한 검색창이 뜬다. 자동완성 기능이 있지만 과목 분류가 안 나와 막막하다. 물론 굿닥의 장점도 많다. 선점 업체 답게 등록된 병원이 많고 '리뷰'에 힘을 싣고 있기 때문에 시간이 지날수록 많은 데이터를 확보해 '좋은 병원' 선별력이 높아질 것이다. 아쉬운 부분이 개선되어 더 성장했으면 한다.",3
무슨 로그인하는데 비번틀렸다해서 비번찾기하면 네트워크 연결안되어있다고 하고ㅋㅋㅋㅋㅋ장난하나... 한시간째 네트워크가지고 싸워야하다니.. 와이파이 5g LTE 다안되면 도대체 어디네트워크를 끌어와야 내 비번을 찾을수 있는건지.. 애가 아파서 새벽에 미리 예약할랬더니 기도안차네.. 그냥 바로 병원가서 무한대기할랍니다. 이시국에 가서 무한대기..ㅋㅋㅋ어이없네...,1
"원래 마스크 스캐너 누르면 위에 목록에 마스크스캐너랑 확진자동선 메뉴가 있었는데, 그 메뉴가 사라져서 확진자동선을 볼수가 없습니다. 어떻게 된건가요?",4
개 쓰레기같은데 그래도 가끔 병원찾기때문에 어쩔수없이 쓰는 앱. 생활정보앱이고 그중에서도 응급상황에 엄청난 도움이 되는 병원찾기앱이라 분명 이미지 플러스 요소가 굉장히 많음에도 수많은 광고때문에 개빡치는 앱. 레알로 하루에 확진자수 한번정도씩만 그렇게 잘하는 푸시알림 광고처럼 띄워줬어도 공익적인 앱이라는 이미지도 챙기고 이렇게 삭제를 고민하는 앱이 되지도 않았을거임.,1
상세주소가 저장되지 않는데 수정됐다고 뜹니다. 비대면진료도 마지막 과정에서 전송이 된건지 알수없네요. 버튼도 비활성되고;;;,2
굿닥으로예약해서 병원진료받았는데 자동취소되어있고 결국 알지도못한 패널티주셔서 앱으로 예약도안되는데 그리고 날짜변경으로 예약취소하고 다른날예약했는데 예약취소한건 자동취소(진료안갓다고) 떠있고.. 이메일보내도 답은없으시고 굿닥 이용하는데 크나큰불편없었는데 둘째애기 예약하려니 오류뜨고 첫째아이 선택하니 90일정지?,1
응급실 바로찾기 버튼이 실시간 버튼처럼 있었으면 좋을것 같습니다. 응급실 때문에 응급의료정보제공앱을 항상 같이 쓰고 예약과 진료대기 상황보려고 똑닥도 같이쓰는데 개인적으로 편하긴 굿닥만한게 없네요~ 좋은 앱 감사합니다.,4
네이버 지도보다 병원 관련 정보 적은 것 같아요. 전문의라도 따로 지도에서 필터로 걸러주는 기능이라도 있음 더 나을것 같아요. 리뷰 데이터 더 쌓으려면 좀 지도에서 필터링 검색 등 전문화된 서비스가 강해져야할 것 같아요.,1
예약할려고 누르면 다음에서 넘어가지를 않고 폰아무이상도 없는데 서버와 통신연결실패라는 창만 계속뜨고! 전화로 예약하는게 더 빠르네요,1
병원찾기에서 예약이 바로 되게 해주세요. 전화하기만 보이는데 맞는건가요? 병원예약이랑 접수로 들어가서는 병원검색안되나요? 제가 못찾는건지 스크롤로 계속 내려서 병원 찾아야되는건가요? 똑딱 어플처럼 찜 목록에서 해당병원예약을 바로 할 수있게 연결되면 더 편할꺼 같애요,2
편하게 잘쓰고 있는데요 비대면진료시 맞지 않는 과의 선생님을 선택하지 않았으면 다시 추천에 뜨지 않게 해주세요. 그리고 비대면 진료 가능한 병원 정보좀 정확하게 기재해주세요. 진료중이라해서 들어가보면 휴무이고 선생님 자리비운경우가 많네요,3
굿닥 어플을 여러차례 이용했는데요. 분명 매번 주소 입력한 이후에 현관비밀번호를 적는데 왜 어떤 기사님은 잘 갖다주시고 어떤 기사님은 비밀번호가 안적혀있다고 전화하셔서 문을 열어달라고하시는건지요? 시스템상 고장입니까? 잘 이용하고 있는데 연달아 이러니 불편합니다. 굿닥측에서는 이 고장?상태를 알고 계신건가해서 글 남깁니다.,4
쓰레기 어플임...병원 예약이 절대 안됨...,1
"마스크스캐너 동작하지 않습니다. 동작하는 것 맞아요? api 확정 오픈후 동작한다고 표시됩니다. 이 앱에 대해 업데이트 후에도 동작하지 않고, 앱 삭제 후 새로운 앱을 다운로드 한후에도 동작하지 않습니다.",1
"완전 별로예요. 약국측에서 진위여부 확인 불가하다고 하기도 하고, 된다고 써 있는데 안 되는 곳도 많습니다. 심지어 의사들도 묻지도 않고 30초 컷 진료입니다. 근처 병원에 직접 전화해서 비대면 진료하는 게 깔끔한 듯요. 어플 때문에 목 아프게 고생만 했어요.",1
마스크스캐너 공지사항 안내. 에서 '방문전 전화확인 필수!' 문구는 다시 고려해주세요. 약국은 안그래도 하루에 마스크문의 전화 100통 이상 받습니다. 5분에 한번 꼴이고 1인약국은 업무를 할 수가 없습니다. 게다가 입고 후 빠르면 10분안에 매진되기 때문에 전화로 입고여부 확인하시는 건 무의미합니다. 문구 수정 고려해주세요,4
아니.. 이용을 할수있게 해주던지.. 접속자수 폭주로 인해 확인도 못하는데.. 늘려주던지 뭘 해결하고 어플을 다운받으라고 하던지.. 마스크도 수량을 알아야지 거기로가죠.. 곳곳 다 들러서 감염되란건가..?,1
"지금 장난합니까? 3일 전 처방받은 약 퀵배송을 굿닥 측에서 확인 처리를 하지 않아 공휴일 추가 처방분을 퀵배송으로 받지 못하고 있습니다. 이로 인해 하룻동안 약 복용을 못하게 되었네요. 심각한 증세가 아니라면 다행이지만, 하루하루 약을 신경써야하는 환자분께 맞는 시스템인지 의구심이 듭니다. 기존에 퀵배송이 완료되었음을 고객이 직접 확인 버튼을 누르도록 하거나, 현재 진행중인 퀵배송이 발송 시작이 되지 않을시 취소 처리라도 할 수 있는 시스템이 시급합니다. 편의성에 대단히 큰 실망감을 느끼네요.",1
오류나서 예약할 때 자꾸 튕기더니 동일 진료실에 예약 환자라고 떠요 예약은 안되어 있는데,3
"마스크 지도 API 불러오는데 무슨 업데이트를 하라고 하는지, 이해가 되지 않습니다. 데이터 불러올때마다 업데이트 한다면, 불편해서 사용하지 않고 마스크 알리미 검색해서 웹사이트 들어가는게 더 편하다고 생각됩니다.",1
약관 동의에 동의한다고 눌렀는데 그 화면에서 넘어가지 않습니다. 3번을 삭제했다 설치해도 넘어가지 않으며 기기를 다시 시작해도 해결되지 않습니다 어떻게 해야할까요ㅠ,3
스토어가 정말 너무너무 느림..스토어 때문에 앱을 몇번이나 제거했다가 다시 설치함 계속 에러뜨고 배송지수정도 안되고 다시 써도 다시 초기화됨 주문해도 이전주소로 돌아가버림.. 가격순 인기순 그런것도 없이 뒤죽박죽이고 개선 좀 해주세요...,3
피부질환 때문에 피부과 전문의 찾고 있는데 내가 의사를 선택할 수 있는 게 아니라 임의로 연결되는 게 싫어요. 근처에 피부과 없어서 피부과 전문의에게 보려고 깔아봤는데 임의로 아무 일반의와 연결되니.. 그럴거면 그냥 근처 가죠.,1
"병원 찾을때 도움이되는 유용한 앱 이예요. 다만, 관심병원 (한번 등록하면 이후에)삭제가 안되요. 기능개선이 필요합니다! p.s. 해당 버튼을 다시 누르면 ""이미 관심병원 으로 설정되었습니다""이라고 나와요",3
태블릿 접수하면 온라인에 내역이 안떠요 접수내역이 없다고 나오는 이유가멀까요? 이름또는 주민번호갖일치하지않는다고 나오는데 말이 안되는게 일치하지는 않는데 진료끝나고 받은내역은 떠요.. 단지 테블릿 접수껀만 안나와요 실시간 확인이 안되니 답답하네요 알려주세요,3
좋은 기능이 있다는걸~ 이제야 알았네요.,5
진료선생님께서 섬세하시고 자세히 설명해주셔서 더욱더 믿음과 신뢰가 가요,5
친절하고 기분이좋아 다 낳을것만같아요,5
접속할 때마다 3분에서 5분간 최신 정보로 업데이트중~ 욕 나오게 만든다.,1
편리하고 좋아요 굿닥 덕에 많이 안기다렸어요 최고👍 👍 👍,5
비대면진료를 받았는데 의사가 확인할게 있다면서 개인핸드폰으로 연락을 했습니다. 또한 예상 진료비가 1~20000원이라고 했는데 30000원이 나왔습니다. 정확성도 낮고 개인연락은 좀 그렇네요,1
의사매칭까지는 잘 되었으나 약배송 받기는 진행도 더디고 진행 상황 확인이 안되어 불편합니다 결국 확인 요청해도 정확한 정보 공지가 없었습니다. 이용 시 오히려 스트레스를 받았습니다.,2
병원예약 할려면 가입하고 본인인증을 해야되는데 본인인증이 안되요. '본인인증이 완료 되었습니다.'화면에서 확인 버튼을 아무리 눌러도 화면이 넘어가지않고 우측상단 X를 눌러 화면에서 나오면 본인인증은 안되어 있고... 해결 부탁 드려요.,1
"굿닥 마스크 맵 정보가 정말로 도움이 되었습니다. 칠순 노모 2분을 모시는 입장이라서 마스크 살 때, 모시고가서 사야하는데 줄을 서야 하고 가면 없고 해서 힘들었었습니다. 하지만 굿닥 정보를 보고 미스크 입고되는 시간과 현제 재고량을 파악해서 지도 검색 후 10분 내로 차로 모시고 가면 줄도 안서고 여유있게 마스크를 구매할 수 있었습니다. 참 좋은 어플, 사람을 구하는 귀한 어플입니다. 도움주셔서 다시 한번 감사드립니다.",5
"시작이래서 온라인 진료 가능한 병원중에서 내가 선택해서 진료는건 줄 알았는데 바로 냅다 영상통화시작됨. 그리고 1분만에 진료 끝. 너무 허무함. 비대면진료면 진료비가 먼저 공지 됐으면 좋겠다,, 쨋든 사전공지 기능과 병원 선택기능이 추가됐으면 좋겠습니다",3
비대면 의사쌤도 빨리 연락이되시고.친절하고.약이늦어지는면이 조금 있었지만 굿닥어플자체에서.늦어져서 죄송하단 연락과.확인연락도 계속주시고 좋네요,5
예전에는 주변병원 찾음 정형외과면 지도에서 좌르륵나와서 편햇는데.병원마다 좌르륵.지금은 가까운병원1개만 나오니 너무 별로에요.왜 병원목록 볼수가없나요.예전이 더 좋았어요,3
소아과 진료 조금만 더 편해지면 좋을거같아요~ 애 데리고 병원가려면 씻기고 옷입히고 머리 묶고 정말 힘든데 비대면진료하면 내복바람으로도 진료볼수 있어서 좋아요(약간 민망하지만)~ 애기 진료 보는 법만 조금 더 편하게 만들어 주시면 맘카페에 알려주고 싶네요!,4
도대체 무슨 비대면이 된다고~완전 최악인듯 연결도 안되 계속 뒤로가면 초기화되고 설정 지역 되는곳도 없고 굿닥맞나~과장이 심한듯하네요!바로 탈퇴합니다!,1
접수소켓응답시간초과 언제 해결되나요? 매번 예약하고 가다가 접수하고 기다렸더니 대기시간이 오래걸려요ㅠㅋ 최근 댓글보니 원인파악하셨다는데 빨리 해결되었으면 좋겠네요ㅋ 메일을 보내도 답변이 느리니.. 소통할 수 있는 수단이 다양했으면 좋겠어요~,2
